SIA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
,Minister of Security,Buddhadasa Bhikkhu,3,Man of the People,SIA_buddhadasa
,Foreign Minister,Pridi Phanomyong,3,Great Compromiser,M62005
,Head of Government,Pridi Phanomyong,3,Silent Workhorse,M62005
,Head of Military Intelligence,Chuang Chawengsangsongkram,5,Dismal Enigma,M62081
,Foreign Minister,Direk Phajayanama,5,Great Compromiser,M62014
,Chief of Staff,Jiri Wichitsongkram,5,School of Manoeuvre,M62094
,Head of Government,Kuang Abhayavongsa,5,Silent Workhorse,M62036
,Minister of Armament,Kuang Abhayavongsa,5,Infantry Proponent,M62036
,Chief of Navy,Luang Chamnanarthayutha,5,Base Control Doctrine,M62105
,Chief of Navy,Mahidol Adulyadej,5,Indirect Approach Doctrine,SIA_mahidol
,Minister of Armament,Mahidol Adulyadej,5,Submarine Proponent,SIA_mahidol
,Chief of Air Force,Phra Silpasakrakorn,5,Vertical Envelopment Doctrine,M62110
,Chief of Army,Phraya Chitnasongkhla,5,Decisive Battle Doctrine,M62026
,Minister of Armament,Phraya Preechacholayudha,5,Submarine Proponent,M62019
,Head of Military Intelligence,A.G. Ellis,6,Technical Specialist,M62016
,Minister of Armament,A.G. Ellis,6,Theoretical Scientist,M62016
,Chief of Staff,Chit Munsilpa Sinadyodharaksa,6,School of Defence,M62079
,Minister of Security,Chit Munsilpa Sinadyodharaksa,6,Prince of Terror,M62079
,Minister of Armament,Direk Phajayanama,6,Laissez-Faire Capitalist,M62014
,Head of Government,Luang Phibunsongkhram,6,BAckroom Backstabber,M62007
,Head of Government,Phot Bhahalyodin,6,Happy Amateur,M62002
,Minister of Security,Phot Bhahalyodin,6,Crime Fighter,M62002
,Head of Military Intelligence,Phraya Chitnasongkhla,6,Political Specialist,M62026
,Chief of Navy,Phraya Preechacholayudha,6,Indirect Approach Doctrine,M62019
,Chief of Air Force,Phraya Thayarnpikart,6,Air Superiority Doctrine,M62063
,Minister of Armament,Phya Burinavarasth,6,Resource Industrialist,M62059
,Foreign Minister,Pote Sarasin,6,Great Compromiser,M62114
,Foreign Minister,Seni Pramoja,6,Ideological Crusader,M62012
,Head of Government,Seni Pramoja,6,Corporate Suit,M62012
,Minister of Security,Seni Pramoja,6,Compassionate Gentleman,M62012
,Minister of Armament,Serm Khrishnamra,6,Air Superiority Proponent,M62057
,Chief of Army,Sindhu Kamalanavin,6,Elastic Defence Doctrine,M62017
,Foreign Minister,Thawee Punyaketu,6,General Staffer,M62015
,Head of Government,Thawee Punyaketu,6,Smiling Oilman,M62015
,Minister of Security,Thawee Punyaketu,6,Man of the People,M62015
,Foreign Minister,Atthakitti Banomyong,7,Biased Intellectual,M62047
,Minister of Security,Bung Suphachahlasai,7,Compassionate Gentleman,M62083
,Minister of Security,Chuang Chawengsangsongkram,7,Silent Lawyer,M62081
,Minister of Security,Chuei Maghaviphulaya,7,Efficient Sociopath,M62072
,Foreign Minister,Ha Samptasiri,7,Apologetic Clerk,M62003
,Minister of Security,Ha Samptasiri,7,Back Stabber,M62003
,Head of Government,Kuang Abhayavongsa,7,Silent Workhorse,M62036
,Chief of Air Force,Luang Kajsongkram,7,Army Aviation Doctrine,M62111
,Chief of Army,Luang Phibunsongkhram,7,Guns and Butter Doctrine,M62007
,Chief of Staff,Luang Phibunsongkhram,7,School of Mass Combat,M62007
,Minister of Armament,Luang Sinthusongkhramchai,7,Air to Sea Proponent,M62069
,Minister of Armament,Phao Peeralert,7,laissez-faire capitalist,M62024
,Head of Government,Phot Bhahalyodin,7,Happy Amateur,M62002
,Minister of Armament,Phot Bhahalyodin,7,Corrupt Kleptocrat,M62002
,Chief of Air Force,Phra Vechayanrangsarit,7,Army Aviation Doctrine,M62010
,Chief of Air Force,Phraya Chalermarkiart,7,Carpet Bombing Doctrine,M62061
,Minister of Armament,Phraya Thayarnpikart,7,Air Superiority Proponent,M62063
,Chief of Navy,Phraya Wichcitcholathai,7,Decisive Naval Battle Doctrine,M62055
,Minister of Armament,Phraya Wichcitcholathai,7,Battle Fleet Proponent,M62055
,Minister of Armament,Phya Bidadhkosha,7,Administrative Genius,M62054
,Head of Military Intelligence,Serm Khrishnamra,7,Industrial Specialist,M62057
,Chief of Staff,Sindhu Kamalanavin,7,School of Psychology,M62017
,Chief of Staff,Suk Nakrob,7,School of Fire Support,M62095
,Chief of Army,Thawi Bunyaket,7,Guns and Butter Doctrine,M62098
,Chief of Navy,Thawon Thamrongnawasawat,7,Open Seas Doctrine,M62029
,Chief of Staff,Thawon Thamrongnawasawat,7,School of Manoeuvre,M62029
,Foreign Minister,Thawon Thamrongnawasawat,7,The Cloak N Dagger Schemer,M62029
,Head of Government,Thawon Thamrongnawasawat,7,Political Protege,M62029
,Minister of Security,Thawon Thamrongnawasawat,7,Crime Fighter,M62029
,Chief of Army,Tianliang Huntrakool,7,Armoured Spearhead Doctrine,M62051
,Foreign Minister,Tianliang Huntrakool,7,Apologetic Clerk,M62051
,Minister of Armament,Tianliang Huntrakool,7,Tank Proponent,M62051
,Minister of Armament,H.R.H. Prince Charoon,8,Military Entrepreneur,M62060
,Foreign Minister,Luang Phibunsongkhram,8,General Staffer,M62007
,Head of Government,Luang Phibunsongkhram,8,Old General,M62007
